country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Thailand,5.7,5.7,−1.3,−1.3,0,0,−3,−8.6,−3,−1.7,−2.9,0,16.9,−2.8
Tajikistan,0,0,0.3,0.3,0,0,0,−1.4,−4.2,−0.6,0.4,0,0,0.1
Turkmenistan,−0.55,−0.55,0,0,0,0,0,1.1,0,0,−1.1,0,0,0
Timor-Leste,4.05,4.05,0,0,0,−0.6,0.8,0,0,0,−0.5,0,0,−1.3
Trinidad and Tobago,0.15,0.15,−0.25,−0.25,0,−1.7,0,0,1.1,0,−0.6,1.2,0,0
Tunisia,−0.5,−0.5,−0.85,−0.85,27.4,1.4,0.9,5.5,4.1,−3.2,−0.8,0.9,3.1,−1.3
Turkey,−0.05,−0.05,0.2,0.2,0,0.3,−1.3,−5.1,0,−0.8,−1.6,−5.1,−2.8,3.9
Taiwan,0,0,−1.5,−1.5,−0.6,1.1,0,0.8,1.8,−0.4,−0.6,0,0,12.1
Tanzania,0.5,0.5,1.8,1.8,0,2.4,−1.1,0,−1.9,1.8,−2.9,−0.6,−2.5,−0.6
Uganda,−0.55,−0.55,0.1,0.1,0.8,0.3,0.6,0,0,0.4,−1.7,1.1,−1.8,−0.8
South Africa,0,0,−0.6,−0.6,0,0,1.1,−0.8,−2.6,−1.5,−1.7,0,0,−1.9
